,clust,법정동코드,읍면동주소,code,sido,gu,dong,lat,lng
0,0,1111010100,청운동,1111010100,서울특별시,종로구,청운동,37.587111,126.969069
1,3,10200,신교동,1111010200,서울특별시,종로구,신교동,37.583911,126.968354
2,6,10800,통인동,1111010800,서울특별시,종로구,통인동,37.580141,126.970127
3,3,10900,누상동,1111010900,서울특별시,종로구,누상동,37.580478,126.965838
4,3,11000,누하동,1111011000,서울특별시,종로구,누하동,37.579423,126.968521
5,3,11100,옥인동,1111011100,서울특별시,종로구,옥인동,37.582175,126.967275
6,6,11200,체부동,1111011200,서울특별시,종로구,체부동,37.577645,126.970877
7,3,11300,필운동,1111011300,서울특별시,종로구,필운동,37.577076,126.968848
8,0,11500,사직동,1111053000,서울특별시,종로구,사직동,37.575408,126.965944
10,0,11800,내수동,1111011800,서울특별시,종로구,내수동,37.573113,126.971819
11,6,12200,청진동,1111012200,서울특별시,종로구,청진동,37.571886,126.980676
12,6,12400,수송동,1111012400,서울특별시,종로구,수송동,37.573994,126.981139
13,2,12800,관훈동,1111012800,서울특별시,종로구,관훈동,37.574336,126.984857
14,5,13000,와룡동,1111013000,서울특별시,종로구,와룡동,37.57695,126.991141
15,3,13300,익선동,1111013300,서울특별시,종로구,익선동,37.574082,126.989819
16,6,13700,낙원동,1111013700,서울특별시,종로구,낙원동,37.572558,126.988732
17,5,13800,종로2가,1111013800,서울특별시,종로구,종로2가,37.570195,126.986454
18,3,14000,삼청동,1111054000,서울특별시,종로구,삼청동,37.590758,126.980996
20,10,14600,가회동,1111060000,서울특별시,종로구,가회동,37.582682,126.984831
22,3,14800,계동,1111014800,서울특별시,종로구,계동,37.581321,126.987016
23,3,14900,원서동,1111014900,서울특별시,종로구,원서동,37.581687,126.988696
24,2,15300,돈의동,1111015300,서울특별시,종로구,돈의동,37.572085,126.990736
25,7,15900,원남동,1111015900,서울특별시,종로구,원남동,37.575326,126.997429
26,2,16400,종로6가,1111016400,서울특별시,종로구,종로6가,37.572572,127.006996
27,3,16500,이화동,1111064000,서울특별시,종로구,이화동,37.577245,127.005622
29,3,16600,연건동,1111016600,서울특별시,종로구,연건동,37.5775,127.000903
30,3,16700,충신동,1111016700,서울특별시,종로구,충신동,37.575189,127.006471
31,9,16800,동숭동,1111016800,서울특별시,종로구,동숭동,37.581654,127.005083
32,3,16900,혜화동,1111065000,서울특별시,종로구,혜화동,37.587817,127.001745
34,9,17000,명륜1가,1111017000,서울특별시,종로구,명륜1가,37.588347,126.997733
35,9,17100,명륜2가,1111017100,서울특별시,종로구,명륜2가,37.584521,126.998638
36,3,17200,명륜4가,1111017200,서울특별시,종로구,명륜4가,37.582225,127.000008
37,9,17300,명륜3가,1111017300,서울특별시,종로구,명륜3가,37.588359,126.994739
38,9,17400,창신동,1111017400,서울특별시,종로구,창신동,37.574729,127.012062
39,4,17500,숭인동,1111017500,서울특별시,종로구,숭인동,37.575979,127.018802
40,3,18100,행촌동,1111018100,서울특별시,종로구,행촌동,37.574294,126.962469
41,1,18200,구기동,1111018200,서울특별시,종로구,구기동,37.609211,126.957246
42,8,18300,평창동,1111056000,서울특별시,종로구,평창동,37.613029,126.974485
44,0,18400,부암동,1111055000,서울특별시,종로구,부암동,37.594768,126.965574
46,3,18500,홍지동,1111018500,서울특별시,종로구,홍지동,37.60031,126.957773
47,3,18600,신영동,1111018600,서울특별시,종로구,신영동,37.602696,126.961378
48,1,18700,무악동,1111057000,서울특별시,종로구,무악동,37.57711,126.958562
50,7,1114010300,태평로1가,1114010300,서울특별시,중구,태평로1가,37.568174,126.976805
51,2,10400,을지로1가,1114010400,서울특별시,중구,을지로1가,37.566295,126.980137
52,2,10500,을지로2가,1114010500,서울특별시,중구,을지로2가,37.565757,126.985892
53,2,11200,남창동,1114011200,서울특별시,중구,남창동,37.55845,126.977464
54,2,11400,태평로2가,1114011400,서울특별시,중구,태평로2가,37.563334,126.976861
55,6,11800,남대문로5가,1114011800,서울특별시,중구,남대문로5가,37.557154,126.974366
56,3,12100,회현동1가,1114012100,서울특별시,중구,회현동1가,37.557439,126.980748
57,0,12200,회현동2가,1114012200,서울특별시,중구,회현동2가,37.558033,126.983443
58,6,12600,명동1가,1114012600,서울특별시,중구,명동1가,37.564135,126.984148
59,6,12700,명동2가,1114012700,서울특별시,중구,명동2가,37.56288,126.984505
60,7,12900,남산동2가,1114012900,서울특별시,중구,남산동2가,37.558534,126.985813
61,3,13200,충무로4가,1114013200,서울특별시,중구,충무로4가,37.562463,126.995255
62,0,13300,충무로5가,1114013300,서울특별시,중구,충무로5가,37.562923,126.999921
63,3,13600,묵정동,1114013600,서울특별시,중구,묵정동,37.561401,127.000871
64,3,13800,필동2가,1114013800,서울특별시,중구,필동2가,37.55896,126.995427
65,9,13900,필동3가,1114013900,서울특별시,중구,필동3가,37.559069,126.997152
66,3,14200,예장동,1114014200,서울특별시,중구,예장동,37.557397,126.990492
67,3,14300,장충동1가,1114014300,서울특별시,중구,장충동1가,37.561397,127.007583
68,9,14400,장충동2가,1114014400,서울특별시,중구,장충동2가,37.55991,127.00256
69,7,14500,광희동1가,1114014500,서울특별시,중구,광희동1가,37.565194,127.005069
70,3,14600,광희동2가,1114014600,서울특별시,중구,광희동2가,37.563799,127.008655
71,7,14700,쌍림동,1114014700,서울특별시,중구,쌍림동,37.563176,127.004625
72,7,14800,을지로6가,1114014800,서울특별시,중구,을지로6가,37.566868,127.00631
73,7,15400,오장동,1114015400,서울특별시,중구,오장동,37.564685,127.0007
74,4,16200,신당동,1114061500,서울특별시,중구,신당동,37.557913,127.013655
76,3,16300,흥인동,1114016300,서울특별시,중구,흥인동,37.566792,127.016839
77,4,16500,황학동,1114067000,서울특별시,중구,황학동,37.568542,127.020827
79,9,16700,정동,1114016700,서울특별시,중구,정동,37.566905,126.972078
80,6,16900,의주로1가,1114016900,서울특별시,중구,의주로1가,37.564783,126.968176
81,3,17100,중림동,1114068000,서울특별시,중구,중림동,37.558842,126.96632
83,4,1117010100,후암동,1117051000,서울특별시,용산구,후암동,37.549901,126.980613
85,9,10200,용산동2가,1117010200,서울특별시,용산구,용산동2가,37.544184,126.98511
86,3,10400,갈월동,1117010400,서울특별시,용산구,갈월동,37.546267,126.972941
87,7,10500,남영동,1117053000,서울특별시,용산구,남영동,37.542865,126.973353
89,3,10700,동자동,1117010700,서울특별시,용산구,동자동,37.551535,126.974137
90,3,10800,서계동,1117010800,서울특별시,용산구,서계동,37.552113,126.966089
91,4,10900,청파동1가,1117010900,서울특별시,용산구,청파동1가,37.54887,126.967046
92,9,11000,청파동2가,1117011000,서울특별시,용산구,청파동2가,37.546067,126.967745
93,3,11100,청파동3가,1117011100,서울특별시,용산구,청파동3가,37.543407,126.968276
