,대피시설명,주소,평시활용 유형,대피시설 면적,경도,위도
2,평광교회,서울특별시 양천구 목동서로 13 (목동),주차장,1272.0,126.884365,37.538217
3,화성프라자,서울특별시 양천구 목동동로 435 (목동),주차장,489.0,126.884848,37.537386
4,신월프라자,서울특별시 양천구 곰달래로5길 17 (신월동 신월프라자),주차장,7200.0,126.833603,37.53111
6,보성아파트,서울특별시 양천구 오목로13길 33 (신월동 신월보성아파트),주차장,1207.0,126.844525,37.525881
7,우당아파트,서울특별시 양천구 오목로 90 (신월동),주차장,3894.0,126.847848,37.523044
8,신월4동주민센터,서울특별시 양천구 오목로5길 34 (신월동),공공시설,608.0,126.840078,37.524669
9,금용아파트,서울특별시 양천구 신월로17길 22 (신월동 금용아파트),주차장,3758.0,126.842411,37.520564
10,성은교회,서울특별시 양천구 화곡로 100 (신월동),주차장,565.0,126.833176,37.539378
11,승원빌딩,서울특별시 양천구 지양로 22 (신월동 승원빌딩),주차장,1124.0,126.837444,37.518675
13,신월시영아파트,서울특별시 양천구 신월로 99 (신월동 신월시영아파트),주차장,10241.0,126.835156,37.518456
14,현대프라자,서울특별시 양천구 중앙로32길 61 (신정동),주차장,2545.0,126.860316,37.520083
18,방송회관,서울특별시 양천구 목동동로 233 (목동 한국방송회관),공공시설,14778.0,126.871381,37.526981
19,한국통신,서울특별시 양천구 목동서로 201 (목동),주차장,16129.0,126.871104,37.529428
20,한국전파진흥협회,서울특별시 양천구 목동중앙로13나길 3 (목동 한국전파진흥협회),주차장,1113.0,126.880614,37.546174
21,양천우체국,서울특별시 양천구 목동서로 117 (목동 양천우체국),공공시설,4145.0,126.876203,37.532864
22,양천도서관,서울특별시 양천구 목동서로 113 (목동 양천도서관),공공시설,1024.0,126.876229,37.533559
24,양정중고등학교,서울특별시 양천구 안양천로 1039 (목동 양정중학교.양정고등학교),주차장,1315.0,126.887734,37.535392
25,이화여대부속목동병원,서울특별시 양천구 안양천로 1071 (목동 이화여대목동병원),공공시설,9705.0,126.886746,37.536983
26,경향렉스빌아파트,서울특별시 동작구 양녕로23길 9,주차장,10144.0,126.941731,37.495325
27,동광교회,서울특별시 동작구 성대로1길 26,주차장,3233.0,126.934909,37.501851
28,도화 공영주차장,서울특별시 동작구 성대로17길 지하 52,주차장,2138.0,126.935245,37.499808
29,삼익아파트,서울특별시 동작구 양녕로26나길 8,주차장,1184.0,126.944561,37.497366
30,롯데캐슬비엔아파트,서울특별시 동작구 양녕로 170,주차장,1184.0,126.943643,37.497001
31,우성1차아파트,서울특별시 동작구 여의대방로 22,주차장,6088.0,126.911642,37.49106
32,현대아파트,서울특별시 동작구 여의대방로 28,주차장,4899.0,126.911692,37.495273
33,사당삼익그린뷰아파트,서울특별시 동작구 남부순환로255길 21,주차장,6732.0,126.968892,37.477376
34,진흥아파트,서울특별시 동작구 사당로16아길 43,주차장,3743.0,126.969329,37.480562
35,사당휴먼시아아파트,서울특별시 동작구 사당로16길 96,주차장,13395.0,126.970139,37.479495
37,사당자이아파트,서울특별시 동작구 사당로2가길 102,주차장,13777.0,126.963417,37.488373
38,남해오네뜨아파트,서울특별시 동작구 사당로2가길 173,주차장,4944.0,126.965527,37.487012
39,삼호그린아파트,서울특별시 동작구 사당로2가길 188,주차장,7647.0,126.965523,37.486443
40,장은해그린아파트,서울특별시 동작구 사당로2길 40,주차장,2983.0,126.963413,37.491917
43,힐스테이트 상도 센트럴파크,서울특별시 동작구 상도로 346-1,주차장,44696.0,126.951667,37.49679
44,삼성래미안3차아파트,서울특별시 동작구 상도로53길 8,주차장,1650.0,126.954053,37.500862
45,삼호아파트 지하주차장,서울특별시 동작구 상도로 407,주차장,498.0,126.957771,37.493919
46,건영아파트,서울특별시 동작구 만양로 26,주차장,10801.0,126.949543,37.507632
48,청화병원,서울특별시 동작구 장승배기로 108,공공시설,583.0,126.940242,37.507141
50,성원아파트,서울특별시 동작구 여의대방로44길 9,주차장,2069.0,126.925917,37.509732
51,보라매코오롱하늘채아파트,서울특별시 동작구 여의대방로24다길 40,주차장,5616.0,126.922879,37.498514
