,호선_x,역번호,역명,경도,위도,호선_y,역사명,정거장층수,형식,지반고(m),레일면고(m),선로기준정거장깊이(m),승강장기준정거장깊이(m),비고
0,1,150,서울,126.972533,37.55315,1,서울역,B2,섬식,129.99,117.04,12.95,11.85,4호선환승
1,1,151,시청,126.975407,37.56359,1,시청,B2,상대식,129.97,118.82,11.15,10.05,2호선환승
2,1,152,종각,126.983116,37.570203,1,종각,B2,상대식,128.77,116.24,12.53,11.43,
3,1,153,종로3가,126.992095,37.570429,1,종로3가,B2,상대식,124.38,112.04,12.34,11.24,"3,5호선환승"
4,1,154,종로5가,127.0019,37.570971,1,종로5가,B2,상대식,121.75,109.26,12.49,11.39,
5,1,155,동대문,127.00789,37.565145,1,동대문,B2,상대식,120.52,108.93,11.59,10.49,4호선환승
6,1,159,동묘앞,127.016459,37.573265,1,동묘앞,B1,상대식,119.91,109.97,9.94,8.84,6호선환승
7,1,156,신설동,127.02471,37.576117,1,신설동,B2,상대식,118,108.46,9.54,8.44,2호선환승
8,1,157,제기동,127.034902,37.578116,1,제기동,B2,상대식,115.91,105.49,10.42,9.32,
9,1,158,청량리,127.045063,37.580148,1,청량리,B2,섬식,114.41,107.97,6.44,5.34,중앙선환승
10,2,202,을지로입구,126.982569,37.565998,2,을지로입구,B2,상대식,127.09,112.53,14.56,13.46,
11,2,203,을지로3가,126.991773,37.566292,3,을지로3가,B3,섬식,123.39,104.99,18.4,17.3,2호선환승
12,2,204,을지로4가,126.998122,37.566611,5,을지로4가,B5,섬식,122.67,95.06,27.61,26.51,2호선환승
13,2,205,동대문역사문화공원,127.009083,37.565609,2,동대문역사문화공원,B2,상대식,123.95,108.85,15.1,14,"4,5호선환승"
14,2,206,신당,127.019488,37.565681,2,신당,B2,상대식,122.43,109.04,13.39,12.29,6호선환승
15,2,207,상왕십리,127.028872,37.564504,2,상왕십리,B2,상대식,134.38,119.21,15.17,14.07,
16,2,208,왕십리,127.035505,37.561159,2,왕십리,B2,상대식,118.41,104.86,13.55,12.45,"5호선,분당,중앙선환승"
17,2,209,한양대,127.043504,37.55658,2,한양대,지상역사,상대식,120.76,122.78,-2.02,-3.12,
18,2,210,뚝섬,127.047413,37.54718,2,뚝섬,지상역사,상대식,109.75,127.72,-17.97,-19.07,
19,2,211,성수,127.055983,37.544628,2,성수,지상역사,섬식,112.7,125,-12.3,-13.4,2호선지선환승
20,2,212,건대입구,127.069231,37.540408,2,건대입구,지상역사,상대식,111.44,125,-13.56,-14.66,7호선환승
21,2,213,구의,127.085024,37.536857,2,구의,지상역사,상대식,119.48,132.98,-13.5,-14.6,
22,2,214,강변,127.094684,37.535161,2,강변,지상역사,상대식,107.33,125.28,-17.95,-19.05,
23,2,215,잠실나루,127.103836,37.520688,2,잠실나루,지상역사,상대식,114.7,122.26,-7.56,-8.66,
24,2,216,잠실,127.100129,37.513305,2,잠실,B2,상대식,114.45,103.33,11.12,10.02,8호선환승
26,2,218,종합운동장,127.073641,37.511008,2,종합운동장,B2,상대식,114.92,102.64,12.28,11.18,
27,2,219,삼성,127.063203,37.508827,2,삼성,B2,섬식,118.07,104.7,13.37,12.27,
28,2,220,선릉,127.048174,37.504257,2,선릉,B2,상대식,122.14,109.09,13.05,11.95,분당선환승
29,2,221,역삼,127.03643,37.500658,2,역삼,B3,상대식,143.03,125.29,17.74,16.64,
30,2,222,강남,127.027539,37.497958,2,강남,B2,상대식,118.77,105.71,13.06,11.96,신분당선환승
31,2,223,교대,127.014631,37.493957,2,교대,B2,상대식,117.89,104.8,13.09,11.99,3호선환승
32,2,224,서초,127.007945,37.49191,2,서초,B2,상대식,131.03,115.64,15.39,14.29,
33,2,225,방배,126.997627,37.481469,2,방배,B2,상대식,126.43,113.68,12.75,11.65,
34,2,226,사당,126.981631,37.476536,2,사당,B2,상대식,118.59,104.77,13.82,12.72,4호선환승
35,2,227,낙성대,126.963783,37.47693,2,낙성대,B2,상대식,148.33,134.96,13.37,12.27,
36,2,228,서울대입구,126.952745,37.481233,2,서울대입구,B2,섬식,134.32,120.91,13.41,12.31,
37,2,229,봉천,126.941896,37.482416,2,봉천,B2,섬식,127.09,114.04,13.05,11.95,
38,2,230,신림,126.929573,37.484216,2,신림,B2,섬식,122.46,109.57,12.89,11.79,
39,2,231,신대방,126.913279,37.487534,2,신대방,지상역사,상대식,108.97,126.25,-17.28,-18.38,
40,2,232,구로디지털단지,126.902626,37.485005,2,구로디지털,지상역사,상대식,110.64,126.26,-15.62,-16.72,
41,2,233,대림,126.895293,37.492426,2,대림,지상역사,상대식,108.8,126.25,-17.45,-18.55,7호선환승
42,2,234,신도림,126.891222,37.508815,2,신도림,B2,섬식,111.52,99.58,11.94,10.84,2호선지선.국철환승
43,2,235,문래,126.894766,37.517993,2,문래,B2,상대식,109.25,96.21,13.04,11.94,
44,2,236,영등포구청,126.896627,37.525766,2,영등포구청,B2,상대식,109.56,95.51,14.05,12.95,5호선환승
45,2,237,당산,126.902011,37.533877,2,당산,지상역사,상대식,112.65,122.82,-10.17,-11.27,9호선환승
46,2,238,합정,126.914557,37.550025,2,합정,B2,상대식,120.95,106.75,14.2,13.1,6호선환승
47,2,239,홍대입구,126.923643,37.556748,2,홍대입구,B2,섬식,111.67,98.41,13.26,12.16,"경의선,공항철도환승"
48,2,240,신촌,126.93689,37.555153,2,신촌,B2,상대식,121.26,106.15,15.11,14.01,
49,2,241,이대,126.945897,37.556734,2,이대,B2,섬식,150.81,122.4,28.41,27.31,최대심도역
50,2,242,아현,126.956079,37.557407,2,아현,B2,상대식,133.76,118.82,14.94,13.84,
51,2,243,충정로,126.964455,37.559742,2,충정로,B3,섬식,145.39,128.98,16.41,15.31,5호선환승
52,2,250,용두,127.03811,37.574012,2,용두,B2,상대식,114.93,105.24,9.69,8.59,지선
53,2,245,신답,127.056348,37.56147,2,신답,지상역사,상대식,114.07,112.67,1.4,0.3,지선
54,2,244,용답,126.977863,37.566412,2,용답,지상역사,상대식,110.37,115.75,-5.38,-6.48,지선
55,2,247,도림천,126.882586,37.514759,2,도림천,B3,상대식,108.08,95.4,12.68,11.58,지선
56,2,248,양천구청,126.865193,37.512194,2,양천구청,B2,상대식,107.28,97.91,9.37,8.27,지선
57,2,249,신정네거리,126.852849,37.520218,2,신정네거리,B3,상대식,114.97,93.33,21.64,20.54,지선
58,2,234-4,까치산,126.846706,37.53181,5,까치산,B5,상대식,114.37,82.28,32.09,30.99,2호선환승
59,3,309,지축,126.912551,37.648281,3,지축,지상역사,섬식,123.22,130.4,-7.18,-8.28,
60,3,310,구파발,126.918827,37.636612,3,구파발,B2,섬식,131.87,119.35,12.52,11.42,
61,3,311,연신내,126.920859,37.618855,3,연신내,B2,섬식,126.77,112.29,14.48,13.38,6호선환승
62,3,312,불광,126.929843,37.610554,3,불광,B2,상대식,128.47,114.4,14.07,12.97,6호선환승
63,3,313,녹번,126.935758,37.600882,3,녹번,B2,섬식,136.67,123.69,12.98,11.88,
64,3,314,홍제,126.944092,37.588851,3,홍제,B3,섬식,138.75,121.83,16.92,15.82,
65,3,315,무악재,126.950131,37.582658,3,무악재,B3,상대식,154.53,138.06,16.47,15.37,
66,3,316,독립문,126.957902,37.574534,3,독립문,B3,섬식,149.49,131.45,18.04,16.94,
67,3,317,경복궁,126.973576,37.575844,3,경복궁,B3,섬식,134.82,115.66,19.16,18.06,
68,3,318,안국,126.98547,37.576562,3,안국,B4,섬식,133.1,113.19,19.91,18.81,
69,3,321,충무로,126.995473,37.561302,3,충무로,B4,섬식,137.83,110.14,27.69,26.59,4호선환승
70,3,322,동대입구,127.005273,37.55816,3,동대입구,B3,섬식,131.99,116.79,15.2,14.1,
71,3,323,약수,127.010628,37.554674,3,약수,B3,섬식,135.42,120.27,15.15,14.05,6호선환승
72,3,324,금호,127.015785,37.548269,3,금호,B2,섬식,134.29,121.89,12.4,11.3,
73,3,325,옥수,127.017303,37.541653,3,옥수,지상역사,상대식,113.51,128.09,-14.58,-15.68,중앙선환승
74,3,326,압구정,127.028502,37.526169,3,압구정,B2,상대식,121.58,109.19,12.39,11.29,
75,3,327,신사,127.020247,37.516438,3,신사,B2,상대식,124.49,110.91,13.58,12.48,
76,3,328,잠원,127.011613,37.512989,3,잠원,B2,상대식,110.98,97.26,13.72,12.62,
77,3,329,고속터미널,127.004916,37.504953,3,고속터미널,B3,상대식,110.05,96.12,13.93,12.83,"7,9호선환승"
78,3,331,남부터미널,127.016289,37.48494,3,남부터미널,B3,상대식,135.55,116.99,18.56,17.46,
79,3,332,양재,127.03513,37.48466,3,양재,B2,상대식,131,112.41,18.59,17.49,신분당선환승
80,3,333,매봉,127.046907,37.487114,3,매봉,B2,상대식,114.98,99.35,15.63,14.53,
81,3,334,도곡,127.055694,37.491129,3,도곡,B4,상대식,113.38,88.531,24.849,23.749,분당선환승
82,3,335,대치,127.063449,37.494601,3,대치,B4,섬식,111.43,86.93,24.5,23.4,
83,3,336,학여울,127.070541,37.496757,3,학여울,B5,상대식,117.91,91.57,26.34,25.24,
