,clust,법정동코드,code,읍면동주소,gu,lat,lng,color
0,0,1111010100,1111010100,청운동,종로구,37.587111,126.969069,red
1,0,11500,1111053000,사직동,종로구,37.575408,126.965944,red
2,0,11800,1111011800,내수동,종로구,37.573113,126.971819,red
3,0,18400,1111055000,부암동,종로구,37.594768,126.965574,red
4,0,12200,1114012200,회현동2가,중구,37.558033,126.983443,red
5,0,13300,1114013300,충무로5가,중구,37.562923,126.999921,red
6,0,11200,1117011200,원효로1가,용산구,37.539977,126.966998,red
7,0,11500,1117011500,산천동,용산구,37.535428,126.952396,red
8,0,11800,1117011800,원효로4가,용산구,37.533504,126.952763,red
9,0,12000,1117012000,도원동,용산구,37.539188,126.95794,red
10,0,12200,1117012200,문배동,용산구,37.536423,126.969346,red
11,0,12300,1117012300,신계동,용산구,37.534581,126.964922,red
12,0,12400,1117012400,한강로1가,용산구,37.534384,126.973765,red
13,0,12500,1117012500,한강로2가,용산구,37.531715,126.970242,red
14,0,12700,1117012700,용산동5가,용산구,37.527123,126.97083,red
15,0,12800,1117012800,한강로3가,용산구,37.524659,126.963299,red
16,0,13300,1117069000,서빙고동,용산구,37.518619,126.991299,red
17,0,1120010300,1120010100,상왕십리동,성동구,37.569332,127.025349,red
18,0,13200,1129013200,보문동3가,성북구,37.584277,127.017551,red
19,0,10500,1141010500,냉천동,서대문구,37.567257,126.96389,red
20,0,10900,1141010900,현저동,서대문구,37.576486,126.95422,red
21,0,10500,1144059000,용강동,마포구,37.541502,126.940443,red
22,0,10700,1144010700,마포동,마포구,37.537003,126.945323,red
23,0,11200,1144011200,현석동,마포구,37.54384,126.933903,red
24,0,10800,1156010800,영등포동7가,영등포구,37.524619,126.90667,red
25,0,10900,1156010900,영등포동8가,영등포구,37.527015,126.905253,red
26,0,11200,1156011200,당산동2가,영등포구,37.522967,126.892688,red
27,0,11700,1156011700,당산동,영등포구,37.528625,126.907439,red
28,0,12200,1156012200,문래동4가,영등포구,37.515082,126.890475,red
29,0,12300,1156012300,문래동5가,영등포구,37.515863,126.885676,red
30,0,12600,1156012600,양평동2가,영등포구,37.52427,126.884578,red
31,0,12900,1156012900,양평동5가,영등포구,37.538964,126.893422,red
32,0,13000,1156013000,양평동6가,영등포구,37.542645,126.890065,red
33,0,10600,1159010600,동작동,동작구,37.496605,126.980985,red
34,0,10900,1165066000,내곡동,서초구,37.458154,127.076727,red
35,0,11100,1162065500,신원동,관악구,37.481698,126.927268,red
36,0,11300,1168011300,율현동,강남구,37.47145,127.107251,red
37,3,10200,1111010200,신교동,종로구,37.583911,126.968354,purple
38,3,10900,1111010900,누상동,종로구,37.580478,126.965838,purple
39,3,11000,1111011000,누하동,종로구,37.579423,126.968521,purple
40,3,11100,1111011100,옥인동,종로구,37.582175,126.967275,purple
41,3,11300,1111011300,필운동,종로구,37.577076,126.968848,purple
42,3,13300,1111013300,익선동,종로구,37.574082,126.989819,purple
43,3,14000,1111054000,삼청동,종로구,37.590758,126.980996,purple
44,3,14800,1111014800,계동,종로구,37.581321,126.987016,purple
45,3,14900,1111014900,원서동,종로구,37.581687,126.988696,purple
46,3,16500,1111064000,이화동,종로구,37.577245,127.005622,purple
47,3,16600,1111016600,연건동,종로구,37.5775,127.000903,purple
48,3,16700,1111016700,충신동,종로구,37.575189,127.006471,purple
49,3,16900,1111065000,혜화동,종로구,37.587817,127.001745,purple
50,3,17200,1111017200,명륜4가,종로구,37.582225,127.000008,purple
51,3,18100,1111018100,행촌동,종로구,37.574294,126.962469,purple
52,3,18500,1111018500,홍지동,종로구,37.60031,126.957773,purple
53,3,18600,1111018600,신영동,종로구,37.602696,126.961378,purple
54,3,12100,1114012100,회현동1가,중구,37.557439,126.980748,purple
55,3,13200,1114013200,충무로4가,중구,37.562463,126.995255,purple
56,3,13600,1114013600,묵정동,중구,37.561401,127.000871,purple
57,3,13800,1114013800,필동2가,중구,37.55896,126.995427,purple
58,3,14200,1114014200,예장동,중구,37.557397,126.990492,purple
59,3,14300,1114014300,장충동1가,중구,37.561397,127.007583,purple
60,3,14600,1114014600,광희동2가,중구,37.563799,127.008655,purple
61,3,16300,1114016300,흥인동,중구,37.566792,127.016839,purple
62,3,17100,1114068000,중림동,중구,37.558842,126.96632,purple
63,3,10400,1117010400,갈월동,용산구,37.546267,126.972941,purple
64,3,10700,1117010700,동자동,용산구,37.551535,126.974137,purple
65,3,10800,1117010800,서계동,용산구,37.552113,126.966089,purple
66,3,11100,1117011100,청파동3가,용산구,37.543407,126.968276,purple
67,3,11300,1117011300,원효로2가,용산구,37.536307,126.963165,purple
68,3,11400,1117011400,신창동,용산구,37.53573,126.955199,purple
69,3,11700,1117011700,원효로3가,용산구,37.53414,126.956862,purple
70,3,12100,1117059000,용문동,용산구,37.537663,126.959677,purple
71,3,10300,1120010300,홍익동,성동구,37.566144,127.032921,purple
72,3,10400,1120010400,도선동,성동구,37.563897,127.033258,purple
73,3,1123010100,1123010100,신설동,동대문구,37.575204,127.026023,purple
74,3,10300,1129010200,성북동1가,성북구,37.589374,127.003652,purple
75,3,10700,1129010400,동소문동1가,성북구,37.589858,127.00746,purple
76,3,10800,1129010700,동소문동4가,성북구,37.591541,127.010756,purple
77,3,10900,1129010800,동소문동5가,성북구,37.591666,127.01559,purple
78,3,11100,1129010900,동소문동6가,성북구,37.59377,127.014858,purple
79,3,11200,1129011100,삼선동1가,성북구,37.585059,127.007942,purple
80,3,11400,1129011300,삼선동3가,성북구,37.586298,127.012802,purple
81,3,11500,1129011400,삼선동4가,성북구,37.589818,127.013135,purple
82,3,11700,1129011600,동선동1가,성북구,37.592065,127.01826,purple
83,3,11900,1129011800,동선동3가,성북구,37.594108,127.020597,purple
84,3,12000,1129011900,동선동4가,성북구,37.595087,127.018541,purple
85,3,12100,1129012000,동선동5가,성북구,37.596185,127.016726,purple
86,3,12200,1129012100,안암동1가,성북구,37.588393,127.021456,purple
87,3,12300,1129012200,안암동2가,성북구,37.586638,127.022973,purple
88,3,12400,1129012300,안암동3가,성북구,37.583915,127.02328,purple
89,3,12600,1129012500,안암동5가,성북구,37.586083,127.029493,purple
90,3,12700,1129012700,보문동5가,성북구,37.582359,127.019936,purple
91,3,12800,1129012800,보문동6가,성북구,37.580444,127.019694,purple
92,3,12900,1129012900,보문동7가,성북구,37.580033,127.02182,purple
93,3,13100,1129013100,보문동2가,성북구,37.585602,127.018306,purple
94,3,1141010100,1141010100,충정로2가,서대문구,37.565192,126.964529,purple
95,3,10200,1141010200,충정로3가,서대문구,37.562611,126.961351,purple
96,3,10600,1141052000,천연동,서대문구,37.567945,126.959437,purple
97,3,11300,1141011300,대신동,서대문구,37.566438,126.945199,purple
98,3,11800,1144011800,당인동,마포구,37.54625,126.920245,purple
99,3,12100,1144012100,동교동,마포구,37.55765,126.925663,purple
100,3,11000,1150011000,개화동,강서구,37.582069,126.801198,purple
101,3,10200,1156010200,영등포동1가,영등포구,37.51771,126.913057,purple
102,3,10300,1156010300,영등포동2가,영등포구,37.520839,126.910094,purple
103,3,10400,1156010400,영등포동3가,영등포구,37.518155,126.907998,purple
104,3,10500,1156010500,영등포동4가,영등포구,37.517981,126.903506,purple
105,3,10600,1156010600,영등포동5가,영등포구,37.521133,126.907084,purple
106,3,10700,1156010700,영등포동6가,영등포구,37.521556,126.90309,purple
107,3,11100,1156011100,당산동1가,영등포구,37.522336,126.898748,purple
108,3,11600,1156011600,당산동6가,영등포구,37.534373,126.903445,purple
109,3,12500,1156012500,양평동1가,영등포구,37.523571,126.888814,purple
110,3,11000,1165011000,염곡동,서초구,37.462035,127.052837,purple
111,6,10800,1111010800,통인동,종로구,37.580141,126.970127,black
112,6,11200,1111011200,체부동,종로구,37.577645,126.970877,black
113,6,12200,1111012200,청진동,종로구,37.571886,126.980676,black
114,6,12400,1111012400,수송동,종로구,37.573994,126.981139,black
115,6,13700,1111013700,낙원동,종로구,37.572558,126.988732,black
116,6,11800,1114011800,남대문로5가,중구,37.557154,126.974366,black
117,6,12600,1114012600,명동1가,중구,37.564135,126.984148,black
118,6,12700,1114012700,명동2가,중구,37.56288,126.984505,black
119,6,16900,1114016900,의주로1가,중구,37.564783,126.968176,black
120,6,12000,1156012000,문래동2가,영등포구,37.51329,126.893779,black
121,2,12800,1111012800,관훈동,종로구,37.574336,126.984857,darkgreen
122,2,15300,1111015300,돈의동,종로구,37.572085,126.990736,darkgreen
123,2,16400,1111016400,종로6가,종로구,37.572572,127.006996,darkgreen
124,2,10400,1114010400,을지로1가,중구,37.566295,126.980137,darkgreen
125,2,10500,1114010500,을지로2가,중구,37.565757,126.985892,darkgreen
126,2,11200,1114011200,남창동,중구,37.55845,126.977464,darkgreen
127,2,11400,1114011400,태평로2가,중구,37.563334,126.976861,darkgreen
128,5,13000,1111013000,와룡동,종로구,37.57695,126.991141,darkred
129,5,13800,1111013800,종로2가,종로구,37.570195,126.986454,darkred
130,5,11300,1150011300,오쇠동,강서구,37.541148,126.796575,darkred
131,10,14600,1111060000,가회동,종로구,37.582682,126.984831,pink
132,7,15900,1111015900,원남동,종로구,37.575326,126.997429,darkblue
133,7,1114010300,1114010300,태평로1가,중구,37.568174,126.976805,darkblue
134,7,12900,1114012900,남산동2가,중구,37.558534,126.985813,darkblue
135,7,14500,1114014500,광희동1가,중구,37.565194,127.005069,darkblue
136,7,14700,1114014700,쌍림동,중구,37.563176,127.004625,darkblue
137,7,14800,1114014800,을지로6가,중구,37.566868,127.00631,darkblue
138,7,15400,1114015400,오장동,중구,37.564685,127.0007,darkblue
139,7,10500,1117053000,남영동,용산구,37.542865,126.973353,darkblue
140,7,13000,1129013000,보문동1가,성북구,37.586226,127.019779,darkblue
141,7,11400,1141058500,신촌동,서대문구,37.56555,126.941382,darkblue
142,7,10700,1150010700,외발산동,강서구,37.546721,126.821871,darkblue
143,9,16800,1111016800,동숭동,종로구,37.581654,127.005083,green
144,9,17000,1111017000,명륜1가,종로구,37.588347,126.997733,green
145,9,17100,1111017100,명륜2가,종로구,37.584521,126.998638,green
146,9,17300,1111017300,명륜3가,종로구,37.588359,126.994739,green
147,9,17400,1111017400,창신동,종로구,37.574729,127.012062,green
148,9,13900,1114013900,필동3가,중구,37.559069,126.997152,green
149,9,14400,1114014400,장충동2가,중구,37.55991,127.00256,green
150,9,16700,1114016700,정동,중구,37.566905,126.972078,green
151,9,10200,1117010200,용산동2가,용산구,37.544184,126.98511,green
152,9,11000,1117011000,청파동2가,용산구,37.546067,126.967745,green
153,9,13000,1117013000,이태원동,용산구,37.5367,126.992151,green
154,9,13600,1117070000,보광동,용산구,37.526873,127.000917,green
155,9,10600,1120010600,사근동,성동구,37.561371,127.046789,green
156,9,12200,1120079000,용답동,성동구,37.56147,127.056348,green
157,9,10700,1121571000,화양동,광진구,37.54325,127.073393,green
158,9,10300,1123054500,제기동,동대문구,37.583778,127.037226,green
159,9,10700,1123070500,청량리동,동대문구,37.588799,127.04528,green
160,9,10800,1123071000,회기동,동대문구,37.593733,127.051434,green
161,9,11100,1123011000,이문동,동대문구,37.598851,127.062465,green
162,9,11600,1129011500,삼선동5가,성북구,37.58825,127.015789,green
163,9,11800,1129011700,동선동2가,성북구,37.590091,127.020053,green
164,9,12500,1129012400,안암동4가,성북구,37.580811,127.024633,green
165,9,11000,1141055500,북아현동,서대문구,37.562431,126.954397,green
166,9,11200,1141011200,대현동,서대문구,37.558086,126.944504,green
167,9,11600,1141011600,창천동,서대문구,37.558584,126.934113,green
168,9,11000,1144011000,노고산동,마포구,37.554402,126.938556,green
169,9,10300,1153059500,가리봉동,구로구,37.482704,126.888019,green
170,9,11800,1156058500,도림동,영등포구,37.509105,126.900533,green
171,9,13300,1156013300,대림동,영등포구,37.494306,126.900642,green
172,4,17500,1111017500,숭인동,종로구,37.575979,127.018802,orange
173,4,16200,1114061500,신당동,중구,37.557913,127.013655,orange
174,4,16500,1114067000,황학동,중구,37.568542,127.020827,orange
175,4,1117010100,1117051000,후암동,용산구,37.549901,126.980613,orange
176,4,10900,1117010900,청파동1가,용산구,37.54887,126.967046,orange
177,4,13200,1117013200,동빙고동,용산구,37.523599,126.995949,orange
178,4,10200,1120010100,상왕십리동,성동구,37.569332,127.025349,orange
179,4,10500,1120054000,마장동,성동구,37.567363,127.040731,orange
180,4,11500,1120011500,성수동2가,성동구,37.541123,127.056125,orange
181,4,11800,1120072000,송정동,성동구,37.553181,127.062066,orange
182,4,1121510100,1121510100,중곡동,광진구,37.561882,127.084745,orange
183,4,10200,1121578000,능동,광진구,37.550578,127.081722,orange
184,4,10300,1121510300,구의동,광진구,37.544655,127.089493,orange
185,4,10500,1121510500,자양동,광진구,37.534692,127.074327,orange
186,4,10900,1121573000,군자동,광진구,37.553038,127.073657,orange
187,4,10200,1123010200,용두동,동대문구,37.576328,127.034621,orange
188,4,10400,1123010400,전농동,동대문구,37.579797,127.053848,orange
189,4,10500,1123010500,답십리동,동대문구,37.569883,127.056757,orange
190,4,10600,1123010600,장안동,동대문구,37.570749,127.068233,orange
191,4,10900,1123010900,휘경동,동대문구,37.589592,127.061228,orange
192,4,1126010100,1126010100,면목동,중랑구,37.58442,127.086487,orange
193,4,10300,1126010200,상봉동,중랑구,37.596267,127.085704,orange
194,4,10400,1126010300,중화동,중랑구,37.59975,127.077718,orange
195,4,10500,1126010400,묵동,중랑구,37.611266,127.077829,orange
196,4,10600,1126010500,망우동,중랑구,37.596678,127.100419,orange
197,4,1129010100,1126010600,신내동,중랑구,37.607237,127.098924,orange
198,4,11300,1129011200,삼선동2가,성북구,37.585259,127.010538,orange
199,4,13300,1129013300,정릉동,성북구,37.608442,127.008288,orange
200,4,13500,1129070500,종암동,성북구,37.597176,127.033894,orange
201,4,13600,1129013600,하월곡동,성북구,37.605662,127.035753,orange
202,4,13700,1129013700,상월곡동,성북구,37.606723,127.048393,orange
203,4,13800,1129013800,장위동,성북구,37.614232,127.050118,orange
204,4,13900,1129081000,석관동,성북구,37.608265,127.061465,orange
205,4,1130510100,1130553500,미아동,강북구,37.621106,127.023865,orange
206,4,10200,1130510200,번동,강북구,37.635123,127.032072,orange
207,4,10300,1130510300,수유동,강북구,37.639388,127.017183,orange
208,4,10400,1130564500,우이동,강북구,37.663286,127.000508,orange
209,4,10500,1132010500,쌍문동,도봉구,37.652731,127.02871,orange
210,4,10600,1132010600,방학동,도봉구,37.666224,127.03665,orange
211,4,100700,1132010700,창동,도봉구,37.64344,127.039413,orange
