역,경도,위도
마곡,126.82693,37.562182
까치산,126.846706,37.53181
천왕,126.838684,37.486699
왕십리,127.035505,37.561159
영등포구청,126.896627,37.525766
가산디지털단지,126.882704,37.480376
봉천,126.941896,37.482416
안국,126.98547,37.576562
상도,126.947949,37.50279
양재,127.03513,37.48466
대치,127.063449,37.494601
쌍문,127.034381,37.648274
하계,127.067999,37.636363
굽은다리,127.142844,37.545442
상봉,127.085708,37.595673
어린이대공원,127.07465,37.547962
송파,127.11212,37.49978
수유,127.024731,37.637127
성신여대입구,127.017338,37.592782
삼각지,126.973354,37.535057
청량리,127.045063,37.580148
충무로,126.995473,37.561302
광흥창,126.931971,37.547464
독립문,126.957902,37.574534
구산,126.917246,37.611223
